EQID,Mw,SoF,Dip,RJB,VS30,PGV_geo
235,4.9,N,44.0,80.77442574,366.0,0.252956339
538,5.9,N,34.0,85.28555205,344.0,0.47046662
379,5.2,S,79.0,63.38893379,608.0,0.18473221
584,4.1,S,88.0,35.26461888,481.0,0.051149707
627,5.0,S,67.0,147.1766642,304.0,0.196598567
18,7.6,S,87.0,62.73,459.0,8.79752929
504,4.9,S,60.0,106.9277715,328.0,0.387189115
8570,4.1,N,23.0,55.0,907.0,0.014846695
574,4.2,S,60.0,118.8567602,462.0,0.022742618
235,4.9,N,44.0,142.9801004,483.0,0.083740861
617,4.9,N,53.0,141.3014653,375.0,0.197192582
641,4.3,S,80.0,163.7447491,519.0,0.011030015
502,4.0,S,86.0,39.27552097,286.0,0.04624794
146,3.8,S,61.0,59.87304146,815.0,0.029080658
571,4.0,S,62.0,83.74340649,193.0,0.041641538
8864,5.3,S,76.0,57.0,243.0,0.229687921
696,5.3,N,47.0,44.10607161,307.0,0.261880221
262,4.0,N,58.0,108.5372974,914.0,0.006942815
385,6.6,N,37.0,163.86,460.0,0.84217649
304,4.5,N,45.0,180.6064431,321.0,0.031366789
8643,4.5,N,44.0,130.0,986.0,0.006159252
221,3.9,S,65.0,133.2581465,629.0,0.010349532
320,3.9,N,31.0,49.66243025,387.0,0.023746809
616,4.3,S,84.0,80.98609571,361.0,0.11350976
644,4.8,S,82.0,101.2169081,358.0,0.017741274
628,5.0,S,46.0,75.17308002,391.0,0.323793965
9140,4.9,N,39.0,26.0,445.0,1.312194065
8766,5.3,S,61.0,126.0,875.0,0.093207949
126,4.5,S,67.0,108.0056464,460.0,0.0182031
662,4.3,N,27.0,32.61022709,205.0,0.370889641
141,4.0,S,48.0,63.88237691,463.0,0.131067762
202,4.3,S,77.0,122.8715314,196.0,0.077348242
562,4.8,S,89.0,133.8571901,416.0,0.178824985
659,5.2,N,33.0,193.8573001,249.0,0.465598335
475,4.1,N,40.0,30.10964094,374.0,0.221695068
122,4.8,N,38.0,146.7470701,470.0,0.148426533
9201,4.6,N,53.0,17.0,484.0,0.504548279
9242,6.3,N,53.0,180.0,715.0,0.756854754
8994,7.8,S,70.0,0.6,390.0,92.53318556
378,4.2,N,39.0,86.28974511,415.0,0.057387156
688,4.7,N,53.0,83.73372336,694.0,0.019616396
523,4.3,N,74.0,41.55604136,367.0,0.041523563
8569,5.3,N,56.0,120.0,367.0,0.088407146
9247,4.4,N,40.0,78.0,445.0,0.038157948
248,3.9,S,37.0,72.69397741,745.0,0.02193586
358,5.2,N,43.0,27.40110128,341.0,2.220414994
8738,4.1,N,52.0,45.0,278.0,0.019777645
418,5.0,N,34.0,149.3852504,1141.0,0.022024674
8757,3.9,S,90.0,80.0,382.0,0.021913609
8793,4.2,N,46.0,111.0,562.0,0.041813448
230,4.2,S,59.0,82.95024095,580.0,0.028699044
395,4.2,N,35.0,162.2958504,462.0,0.022999944
89,4.0,S,57.0,71.88661931,460.0,0.022377042
374,4.2,S,60.0,141.7245904,192.0,0.046514319
520,5.0,N,52.0,43.24770585,356.0,1.062377664
9000,5.3,R,28.0,60.0,426.0,0.256567042
110,4.9,S,69.0,174.5443375,214.0,0.035293358
9224,4.7,N,59.0,59.0,460.0,0.133665095
56,5.0,S,57.0,16.32259747,348.0,2.246264227
202,4.3,S,77.0,36.9991064,375.0,0.181190947
9080,5.2,S,45.0,79.0,860.0,0.0329528
463,4.1,S,73.0,27.62503899,284.0,0.227406224
402,4.1,N,38.0,49.62513681,630.0,0.067914529
8820,4.2,S,89.0,77.0,340.0,0.030056952
8827,4.3,S,71.0,148.0,637.0,0.004393023
612,4.7,S,69.0,103.2454441,328.0,0.107697988
196,4.3,S,90.0,34.11409377,480.0,0.077120332
9239,4.5,R,80.0,20.0,186.0,0.851908015
327,4.6,N,43.0,100.9599926,608.0,0.043005288
435,4.7,N,41.0,98.3767052,1080.0,0.022021351
712,4.5,N,55.0,91.30348716,875.0,0.01148346
277,4.2,S,67.0,99.62172298,381.0,0.031476724
705,4.0,N,55.0,68.45868797,131.0,0.049185382
8609,4.9,N,36.0,117.0,630.0,0.028002131
93,4.6,S,76.0,6.075841404,375.0,2.825983751
333,4.4,S,77.0,107.1504247,731.0,0.0142567
571,4.0,S,62.0,82.46201817,361.0,0.020908161
551,5.7,S,60.0,96.58026466,488.0,1.270669808
198,4.0,N,74.0,197.7507897,460.0,0.015832254
650,4.0,N,55.0,122.4280926,448.0,0.023364902
136,5.8,S,80.0,168.5201061,225.0,2.430810464
551,5.7,S,60.0,91.87680413,301.0,1.161888403
256,4.2,S,85.0,37.31898679,286.0,0.253807023
719,4.2,N,55.0,127.8706215,747.0,0.012536583
453,4.4,S,69.0,102.5273503,348.0,0.038280277
176,3.9,S,68.0,85.56095438,376.0,0.019309774
223,4.5,S,54.0,67.87360389,410.0,0.029997044
597,4.1,S,58.0,40.70238544,229.0,0.072844607
577,6.7,S,68.0,106.2,469.0,3.698999305
9227,5.1,N,45.0,105.0,558.0,0.119337188
328,4.4,N,44.0,118.2495589,558.0,0.013876419
8897,3.8,S,70.0,33.0,662.0,0.138506113
225,4.8,N,38.0,69.77063925,599.0,0.057871889
476,4.3,S,76.0,89.36612887,439.0,0.019047315
605,5.5,N,43.0,160.4171746,278.0,0.032280395
422,4.0,S,55.0,169.1931901,860.0,0.007089417
331,5.6,S,63.0,84.03125139,721.0,0.697594021
291,4.0,S,63.0,8.769860402,292.0,0.276013069
439,5.3,N,34.0,185.1617431,415.0,0.078139762
470,4.0,S,69.0,173.4500928,304.0,0.011111305
315,4.2,S,38.0,79.92489304,403.0,0.050087198
566,4.1,S,66.0,45.72167976,270.0,0.052524429
8900,4.8,R,71.0,188.0,408.0,0.016842525
8766,5.3,S,61.0,89.0,376.0,0.110534803
548,4.1,S,86.0,63.95268769,299.0,0.018546486
