EQID,Mw,SoF,Dip,RJB,VS30,PGV_geo
563,4.2,S,74.0,88.56102062,367.0,0.064227343
511,4.1,N,52.0,47.94306857,462.0,0.123963623
450,3.9,S,81.0,68.09195237,489.0,0.03509945
475,4.1,N,40.0,91.44938297,715.0,0.022624128
174,3.7,S,77.0,47.60440971,715.0,0.045825166
742,4.1,N,15.0,89.79070169,813.0,0.012871186
708,4.3,N,55.0,46.21264573,415.0,0.027373895
657,4.2,S,76.0,58.21658993,335.0,0.02829559
494,4.0,S,54.0,108.894276,286.0,0.019239642
705,4.0,N,55.0,79.84273516,205.0,0.035592757
677,4.1,S,87.0,108.480637,469.0,0.003108849
505,4.2,R,90.0,64.97603734,459.0,0.006908438
485,4.1,N,43.0,57.37976706,207.0,0.020407491
88,4.4,S,61.0,55.88028484,193.0,0.58848988
221,3.9,S,65.0,65.21795537,532.0,0.051579767
574,4.2,S,60.0,64.21241486,273.0,0.073441507
596,4.3,S,67.0,64.61105989,481.0,0.041397312
8872,4.3,S,78.0,117.0,368.0,0.01943028
269,3.9,N,54.0,54.21567784,367.0,0.024146512
392,4.1,N,37.0,47.77053629,694.0,0.022762755
202,4.3,S,77.0,180.9935003,770.0,0.009264001
430,4.2,N,43.0,81.60774387,986.0,0.08761655
706,4.1,N,55.0,84.49992807,948.0,0.025186862
239,4.2,S,76.0,112.697473,377.0,0.040190473
513,4.2,S,66.0,35.40573869,477.0,0.086898271
320,3.9,N,31.0,135.8410915,683.0,0.034833768
588,4.3,S,68.0,179.5399036,356.0,0.001361073
703,4.0,N,55.0,79.15319695,875.0,0.013514192
575,4.2,S,52.0,188.9705414,438.0,0.010435284
398,4.4,N,35.0,124.5356864,567.0,0.010475395
588,4.3,S,68.0,129.2093344,955.0,0.002986293
301,4.0,N,37.0,44.75620437,1080.0,0.03382247
250,4.0,N,43.0,65.99660746,484.0,0.025199409
292,4.3,S,60.0,79.91982991,336.0,0.053857202
316,4.1,S,44.0,97.36410975,608.0,0.037128151
9240,4.4,S,74.0,144.0,875.0,0.002418563
561,4.2,S,76.0,151.775562,375.0,0.010226955
624,4.2,S,82.0,135.6374163,343.0,0.028203197
